text,id,cleaned_text,sentiment_score
"RT @SFR: Le Google Pixel 10 Pro débarque chez SFR🟥
Avec jusqu’à 100h d’autonomie, une chose est sûre, vous serez fatigués avant lui.
RT + f…",1967578275036930054,rt le google pixel pro dbarque chez sfr avec jusqu h dautonomie une chose est sre vous serez fatigus avant lui rt f,0.0
@TheDamiForeign He be like google pixel,1967578212948693080,like google pixel,0.3612
FRUITS ZIPPERがハイキングや花火大会へ！au「Google Pixel 10」新CMに出演　[PR] KawaiiってMagic (初回限定盤) (メガジャケ(※抽選で12名様に直筆サイン入り)付) [INPOST封入商品]　https://t.co/bWsJbf5EVb,1967578146049540140,fruits zipperaugoogle pixel cm pr kawaiimagic inpost,0.0
"RT @dbayexquisite: Order placed: OLED Display for Google Pixel  6 6A 6Pro LCD Touch Screen Replacement Assembly US 

Total landing cost : 9…",1967577789760246225,rt order placed oled display google pixel pro lcd touch screen replacement assembly us total landing cost,0.0
"RT @ANOTHERSKY_NTV: ＼🎉視聴者プレゼント🎉／

#見上愛 さんサイン入り
Google Pixel presents アナザースカイ特製
「サタデーナイト・クリアケース」を
抽選で3名様にプレゼント🩵✨
*クリアケースは非売品です。

✅応募方法
①@ANO…",1967577750879043934,rt google pixel presents,0.0
"RT @ANOTHERSKY_NTV: ＼🎉視聴者プレゼント🎉／

#見上愛 さんサイン入り
Google Pixel presents アナザースカイ特製
「サタデーナイト・クリアケース」を
抽選で3名様にプレゼント🩵✨
*クリアケースは非売品です。

✅応募方法
①@ANO…",1967577343142277445,rt google pixel presents,0.0
"RT @googlejapan: 【Google Pixel Design Notes #1】
新しい Google Pixel 10 は

💙 Indigo
🍋 Lemongrass
❄️ Frost

の 3 色が仲間入り。
Google Pixel は、自然や日常にあるも…",1967577106776478116,rt google pixel design notes google pixel indigo lemongrass frost google pixel,0.0
"RT @ANOTHERSKY_NTV: ＼🎉視聴者プレゼント🎉／

#見上愛 さんサイン入り
Google Pixel presents アナザースカイ特製
「サタデーナイト・クリアケース」を
抽選で3名様にプレゼント🩵✨
*クリアケースは非売品です。

✅応募方法
①@ANO…",1967576967487868970,rt google pixel presents,0.0
"@ArneLutsch Staying with their Globalstar messaging  solution while leaving high quality livestreaming like this on Ligado L-band for google-Pixel or Samsung to pick up would not be the wise thing to do for apple.

They need to stay premium by contracting the best.",1967576935456010377,staying globalstar messaging solution leaving high quality livestreaming like ligado lband googlepixel samsung pick would wise thing apple need stay premium contracting best,0.9022
"RT @Gackeiso: 9/16 (火) 18:30~ に公開する動画！
スマホ価格帯別カメラ性能比較👀

📱エントリーモデル代表
OPPO A3 5G

📱ミドルモデル代表
Nothing CMF Phone 2 Pro

📱ハイエンドモデル代表
Google Pixel…",1967576933946061074,rt oppo g nothing cmf phone pro google pixel,0.0
